graph_name,nodes,edges,initial_crossings_neato
grafo139.24.graphml,24,28,0
grafo1390.27.graphml,27,39,11
grafo1391.27.graphml,27,30,1
grafo1392.50.graphml,50,63,15
grafo1393.52.graphml,52,62,4
grafo1394.45.graphml,45,57,6
grafo1395.61.graphml,61,78,21
grafo1396.61.graphml,61,78,10
grafo1397.26.graphml,26,27,0
grafo1398.24.graphml,24,25,1
grafo1399.28.graphml,28,32,2
grafo140.22.graphml,22,23,0
grafo1400.31.graphml,31,44,11
grafo1401.45.graphml,45,53,3
grafo1402.48.graphml,48,56,5
grafo1403.17.graphml,17,23,2
grafo1404.51.graphml,51,70,18
grafo1405.50.graphml,50,61,16
grafo1406.46.graphml,46,56,7
grafo1407.68.graphml,68,90,32
grafo1408.49.graphml,49,59,8
grafo1409.49.graphml,49,61,6
grafo141.28.graphml,28,34,2
grafo1410.67.graphml,67,85,36
grafo1411.32.graphml,32,41,9
grafo1412.28.graphml,28,29,1
grafo1413.45.graphml,45,53,4
grafo1414.66.graphml,66,82,16
grafo1415.58.graphml,58,65,3
grafo1416.48.graphml,48,62,20
grafo1417.52.graphml,52,63,5
grafo1418.50.graphml,50,57,5
grafo1419.47.graphml,47,57,8
grafo142.33.graphml,33,37,0
grafo1420.68.graphml,68,91,51
grafo1421.32.graphml,32,45,9
grafo1422.22.graphml,22,22,0
grafo1423.33.graphml,33,55,31
grafo1424.47.graphml,47,58,14
grafo1425.60.graphml,60,77,21
grafo1426.65.graphml,65,85,38
grafo1427.51.graphml,51,59,2
grafo1428.56.graphml,56,69,15
grafo1429.31.graphml,31,45,14
grafo143.29.graphml,29,30,1
grafo1430.31.graphml,31,50,22
grafo1431.52.graphml,52,70,17
grafo1432.60.graphml,60,77,25
grafo1433.47.graphml,47,60,8
grafo1434.30.graphml,30,40,5
grafo1435.43.graphml,43,55,16
grafo1436.33.graphml,33,39,3
grafo1437.52.graphml,52,59,10
grafo1438.49.graphml,49,59,12
grafo1439.15.graphml,15,21,3
grafo144.12.graphml,12,11,0
grafo1440.24.graphml,24,32,3
grafo1441.71.graphml,71,92,38
grafo1442.57.graphml,57,76,26
grafo1443.67.graphml,67,85,28
grafo1444.23.graphml,23,25,0
grafo1445.30.graphml,30,38,2
grafo1446.23.graphml,23,24,0
grafo1447.52.graphml,52,62,5
grafo1448.52.graphml,52,63,8
grafo1449.21.graphml,21,20,0
grafo145.31.graphml,31,37,4
grafo1450.56.graphml,56,70,24
grafo1451.75.graphml,75,88,26
grafo1452.49.graphml,49,66,24
grafo1453.63.graphml,63,80,24
grafo1454.49.graphml,49,59,8
grafo1455.32.graphml,32,38,2
grafo1456.29.graphml,29,43,19
grafo1457.24.graphml,24,24,0
grafo1458.48.graphml,48,63,19
grafo1459.56.graphml,56,69,7
grafo146.22.graphml,22,31,6
grafo1460.50.graphml,50,62,5
grafo1461.69.graphml,69,88,37
grafo1462.65.graphml,65,87,29
grafo1463.24.graphml,24,25,1
grafo1464.46.graphml,46,53,2
